Attendance Date,Employee Code,Department,Begin Time,End Time,In Time,Out Time,Duration,LateBy,EarlyBy,LeaveType,Leave Status,Punch Records,Over Time,Att Status,Status Code,Employee Device Code
16-May-2018,25,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,25
17-May-2018,25,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,25
16-May-2018,26,Default,09:30,18:30,10:08:39,18:55:48,08:47,00:39,00:00,,0,10:08:39(in);18:55:48(in);,0,Present,P,26
17-May-2018,26,Default,09:30,18:30,10:05:31,,00:00,00:36,00:00,,0,10:05:31(in);,0,Present,P,26
16-May-2018,27,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,27
17-May-2018,27,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,27
16-May-2018,28,Default,09:30,18:30,09:24:08,18:36:14,09:00,00:00,00:00,,0,09:24:08(in);18:36:14(in);,12,Present,P,28
17-May-2018,28,Default,09:30,18:30,09:29:25,,00:00,00:00,00:00,,0,09:29:25(in);,0,Present,P,28
16-May-2018,29,Default,09:30,18:30,09:46:10,18:37:19,08:51,00:16,00:00,,0,09:46:10(in);18:37:19(in);,0,Present,P,29
17-May-2018,29,Default,09:30,18:30,09:52:16,,00:00,00:22,00:00,,0,09:52:16(in);,0,Present,P,29
16-May-2018,30,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,30
17-May-2018,30,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,30
16-May-2018,31,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,31
17-May-2018,31,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,31
16-May-2018,32,Default,09:30,18:30,09:51:48,,00:00,00:22,00:00,,0,09:51:48(in);,0,Present,P,32
17-May-2018,32,Default,09:30,18:30,08:55:58,,00:00,00:00,00:00,,0,08:55:58(in);,0,Present,P,32
16-May-2018,33,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,33
17-May-2018,33,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,33
16-May-2018,34,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,34
17-May-2018,34,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,34
16-May-2018,35,Default,09:30,18:30,11:25:33,19:49:49,08:24,01:56,00:00,,0,11:25:33(in);19:49:49(in);,0,Present,P,35
17-May-2018,35,Default,09:30,18:30,12:00:46,,00:00,02:31,00:00,,0,12:00:46(in);,0,Present,P,35
16-May-2018,36,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,36
17-May-2018,36,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,36
16-May-2018,37,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,37
17-May-2018,37,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,37
16-May-2018,38,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,38
17-May-2018,38,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,38
16-May-2018,39,Default,09:30,18:30,10:26:16,18:34:19,08:08,00:56,00:00,,0,10:26:16(in);18:34:19(in);,0,1/2Present,1/2P,39
17-May-2018,39,Default,09:30,18:30,10:21:05,,00:00,00:51,00:00,,0,10:21:05(in);,0,Present,P,39
16-May-2018,40,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,40
17-May-2018,40,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,40
16-May-2018,41,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,41
17-May-2018,41,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,41
16-May-2018,42,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,42
17-May-2018,42,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,42
16-May-2018,43,Default,09:30,18:30,08:52:28,18:54:48,09:00,00:00,00:00,,0,08:52:28(in);18:54:48(in);,62,Present,P,43
17-May-2018,43,Default,09:30,18:30,08:54:46,,00:00,00:00,00:00,,0,08:54:46(in);,0,Present,P,43
16-May-2018,44,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,44
17-May-2018,44,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,44
16-May-2018,45,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,45
17-May-2018,45,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,45
16-May-2018,46,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,46
17-May-2018,46,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,46
16-May-2018,47,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,47
17-May-2018,47,Default,09:30,18:30,08:58:58,,00:00,00:00,00:00,,0,08:58:58(in);,0,Present,P,47
16-May-2018,48,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,48
17-May-2018,48,Default,09:30,18:30,,,00:00,00:00,00:00,,0,,0,Absent,A,48
16-May-2018,49,Default,09:30,18:30,12:48:27,20:45:24,07:57,03:18,00:00,,0,12:48:27(in);20:45:24(in);,0,1/2Present,1/2P,49
